@relation mqp_features

@attribute dt numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute rx numeric
@attribute ry numeric
@attribute rz numeric
@attribute rw numeric

@data
1475604587572.999936,0.960403,0.034728,-1.023871,0.008522,-0.008522,0.009587,?,?,?,?
1475604587691.000064,0.902922,-0.087418,-1.049019,0.010653,-0.011718,0.006392,?,?,?,?
1475604587712.999936,1.003513,-0.129331,-1.177152,0.008522,-0.011718,0.006392,?,?,?,?
1475604587779.000064,0.907712,0.050295,-1.029858,0.004261,-0.012783,0.008522,?,?,?,?
1475604587808.999936,1.059796,0.249082,-1.113684,-0.001065,-0.034088,0.012783,?,?,?,?
1475604587849.999872,1.077759,0.213157,-1.228645,0.002131,-0.042611,0.011718,?,?,?,?
1475604587918.000128,1.060994,-0.005988,-1.118474,0.010653,-0.046872,0.013848,?,?,?,?
1475604587928.999936,0.992736,0,-1.081351,0.010653,-0.043676,0.006392,?,?,?,?
1475604587995.000064,0.93286,0.256267,-1.080154,0.013848,-0.055394,-0.002131,?,?,?,?
1475604588015.000064,0.990341,0.214354,-0.985551,0.023436,-0.056459,0,?,?,?,?
1475604588079.000064,1.032253,0.186812,-0.96639,0.047937,-0.057524,0.004261,?,?,?,?
1475604588081.999872,0.911305,0.044308,-1.005908,0.061785,-0.056459,0.007457,?,?,?,?
1475604588308.999936,0.922083,0.099393,-1.239423,-0.008522,-0.010653,0.002131,?,?,?,?
1475604588500.999936,1.023871,0.005988,-1.138832,0.013848,-0.018109,-0.006392,?,?,?,?
1475604588572.999936,0.984353,0.041913,-0.955613,-0.005326,0.02024,-0.001065,?,?,?,?
1475604588696.999936,0.990341,0.129331,-0.93765,0.005326,0,0.001065,?,?,?,?
1475604588736.999936,0.985551,-0.027543,-1.037043,0.004261,-0.001065,0.007457,?,?,?,?
1475604588790.000128,1.055006,0.055085,-1.052611,0.022371,0.028762,0.009587,?,?,?,?
1475604588835.000064,0.938848,0.0479,-0.995131,0.025566,0.039415,0.012783,?,?,?,?
1475604588875.000064,1.039438,0.063468,-1.051414,0.022371,0.026632,0.009587,?,?,?,?
1475604588907.000064,1.021476,0.035925,-1.038241,0.018109,0.011718,0.010653,?,?,?,?
1475604588940.999936,0.967588,0.04311,-1.190325,0.014914,0.009587,0.008522,?,?,?,?
1475604588950.000128,0.940045,0.020358,-1.120869,0.013848,0.009587,0,?,?,?,?
1475604589028,0.991538,0.130529,-1.026266,0.042611,0.017044,0,?,?,?,?
1475604589064,0.979563,0.129331,-0.989143,0.039415,0.018109,0.008522,?,?,?,?
1475604589124,0.958008,0.041913,-0.936453,-0.023436,0.023436,0.009587,?,?,?,?
1475604589148,0.987946,0.183219,-1.074166,-0.017044,0.017044,0.008522,?,?,?,?
1475604589184,0.968785,0.020358,-1.075364,0.008522,0.014914,0.007457,?,?,?,?
1475604589214.000128,0.984353,-0.044308,-0.973575,0,0.006392,0.008522,?,?,?,?
1475604589248.999936,1.035846,0.177231,-1.068179,0.009587,0.009587,0.005326,?,?,?,?
1475604589287.000064,0.953218,0.088616,-1.034648,-0.010653,0.004261,0.003196,?,?,?,?
1475604589372.999936,1.039438,0.173639,-1.049019,0.008522,0.004261,0,?,?,?,?
1475604589376,1.071771,0.149689,-0.980761,-0.010653,0.008522,0.001065,?,?,?,?
1475604589391.000064,0.88017,0.111368,-1.016686,-0.004261,0.007457,-0.002131,?,?,?,?
1475604589424,1.002316,0.053888,-0.977168,-0.011718,0.004261,0.001065,?,?,?,?
1475604589527.000064,0.985551,0.203577,-1.046624,-0.005326,0.006392,0.002131,?,?,?,?
1475604589550.000128,1.010698,0.044308,-0.989143,-0.009587,0.006392,-0.002131,?,?,?,?
1475604589604.999936,1.040636,0.096998,-1.019081,-0.009587,0,-0.001065,?,?,?,?
1475604589616,1.081351,0.148491,-1.234633,0.005326,0.001065,0.001065,?,?,?,?
1475604589648.999936,1.083746,0.113763,-1.034648,0.002131,0.002131,0,?,?,?,?
1475604589687.000064,1.038241,0.093406,-0.93765,-0.006392,0.003196,0.002131,?,?,?,?
1475604589756,0.993933,0.183219,-0.943638,-0.007457,-0.005326,0.005326,?,?,?,?
1475604589839.000064,0.959205,0.152084,-1.008303,-0.007457,-0.005326,0.004261,?,?,?,?
1475604589856.999936,1.010698,0.076641,-1.142424,-0.005326,-0.001065,0.007457,?,?,?,?
1475604589884.999936,1.014291,-0.020358,-1.131647,-0.008522,0,0.001065,?,?,?,?
1475604589918.000128,1.065784,-0.050295,-1.007106,-0.019175,0.003196,0,?,?,?,?
1475604589948.999936,0.95681,0.156874,-0.980761,-0.017044,-0.003196,0,?,?,?,?
1475604589976.999936,0.948428,0.271835,-0.953218,0.025566,-0.002131,0.006392,?,?,?,?
1475604590012.999936,1.022673,0.162861,-0.990341,0.025566,-0.001065,0.005326,?,?,?,?
1475604590073.999872,1.074166,0.00958,-1.002316,0.028762,-0.022371,0.033023,?,?,?,?
1475604590084,0.950823,-0.031135,-1.003513,-0.068177,-0.024501,0.031958,?,?,?,?
1475604590147.000064,0.888552,0.106578,-1.125659,-0.051133,-0.056459,0.019175,?,?,?,?
1475604590172,0.959205,0.104183,-1.185535,-0.010653,-0.042611,0.007457,?,?,?,?
1475604590217.999872,1.041834,-0.04311,-1.080154,-0.013848,-0.039415,0,?,?,?,?
1475604590256,1.090931,-0.029938,-0.993933,-0.013848,-0.010653,-0.008522,?,?,?,?
1475604590284,1.072969,0.025148,-1.141227,0,-0.007457,-0.010653,?,?,?,?
1475604590329.999872,0.917292,0.082628,-0.999921,0.012783,-0.001065,-0.009587,?,?,?,?
1475604590366.000128,0.912502,0.056283,-1.028661,0,0.002131,-0.012783,?,?,?,?
1475604590374.000128,0.926873,0.120948,-1.099314,-0.007457,0.017044,-0.012783,?,?,?,?
1475604590430.000128,1.009501,0.061073,-1.060994,-0.001065,0.015979,-0.013848,?,?,?,?
1475604590440,1.034648,0.081431,-1.056204,0.013848,0.005326,-0.007457,?,?,?,?
1475604590508.999936,0.949625,0.135319,-1.039438,0.022371,0.008522,0.003196,?,?,?,?
1475604590516,0.981958,0.138911,-0.943638,-0.010653,0.004261,0.008522,?,?,?,?
1475604590543.000064,0.965193,-0.01437,-0.849034,-0.031958,-0.011718,0.001065,?,?,?,?
1475604590576,1.049019,0.188009,-0.963995,-0.039415,-0.030893,0,?,?,?,?
1475604590635.000064,0.990341,0.05748,-1.215472,-0.021305,-0.041545,0,?,?,?,?
1475604590671.000064,0.992736,0.070653,-1.19751,-0.014914,-0.037284,-0.001065,?,?,?,?
1475604590695.000064,1.025068,0.083826,-1.152004,-0.011718,-0.029827,0.002131,?,?,?,?
1475604590727.000064,1.017883,0.226329,-1.251398,0.001065,-0.018109,0.002131,?,?,?,?
1475604590760,1.113684,0.063468,-1.023871,0.008522,0.013848,0.001065,?,?,?,?
